INTERACTOR_A	INTERACTOR_B
AT1G01790	AT4G37930
AT1G01790	AT4G39710
AT1G01790	AT4G39970
AT1G01790	AT5G04140
AT1G01790	AT5G08650
AT1G01790	AT5G09660
AT1G01790	AT5G19220
AT1G01790	AT5G27290
AT1G01790	AT5G35170
AT1G01790	AT5G38520
AT1G01790	AT5G43750
AT1G01790	AT5G47840
AT1G01790	AT5G48790
AT1G01790	AT5G58140
AT1G01790	AT5G58260
AT1G01790	AT5G59250
AT1G01970	AT1G06190
AT1G01970	AT1G32550
AT1G01970	AT1G45230
AT1G01970	AT1G71720
AT1G01970	AT3G07670
AT1G01970	AT3G08010
AT1G01970	AT3G09210
AT1G01970	AT3G19810
AT1G01970	AT3G22150
AT1G01970	AT3G24430
AT1G01970	AT3G24590
AT1G01970	AT3G25805
AT1G01970	AT3G28460
AT1G01970	AT3G52150
AT1G01970	AT3G52380
AT1G01970	AT3G59040
AT1G01970	AT3G62910
AT1G01970	AT3G63190
AT1G01970	AT4G14890
AT1G01970	AT4G24090
AT1G01970	AT4G24770
AT1G01970	AT4G31850
AT1G01970	AT4G39040
AT1G01970	AT5G02710
AT1G01970	AT5G11450
AT1G01970	AT5G14660
AT1G01970	AT5G14910
AT1G01970	AT5G30510
AT1G01970	AT5G48220
AT1G01970	AT5G50250
AT1G01970	AT5G51545
AT1G01970	AT5G55740
AT1G01970	AT5G57930
AT1G01980	AT1G14420
AT1G01980	AT1G76370
AT1G01980	AT3G02970
AT1G01980	AT3G05610
AT1G01980	AT3G09530
AT1G01980	AT3G20190
AT1G01980	AT3G20530
AT1G01980	AT3G20580
AT1G01980	AT3G25170
AT1G01980	AT3G26110
AT1G01980	AT3G52600
AT1G01980	AT3G54800
AT1G01980	AT4G03290
AT1G01980	AT4G24640
AT1G01980	AT4G39610
AT1G01980	AT5G04180
AT1G01980	AT5G23270
AT1G01980	AT5G28680
AT1G01980	AT5G39880
AT1G01980	AT5G48140
AT1G01980	AT5G50830
AT1G01980	AT5G58170
AT1G02150	AT1G01080
AT1G02150	AT1G01320
AT1G02150	AT1G01970
AT1G02150	AT1G02280
AT1G02150	AT1G04420
AT1G02150	AT1G06190
AT1G02150	AT1G07320
AT1G02150	AT1G08520
AT1G02150	AT1G11430
AT1G02150	AT1G11750
AT1G02150	AT1G12800
AT1G02150	AT1G14030
AT1G02150	AT1G14270
AT1G02150	AT1G17220
AT1G02150	AT1G21600
AT1G02150	AT1G29070
AT1G02150	AT1G32550
AT1G02150	AT1G32990
AT1G02150	AT1G35680
AT1G02150	AT1G48350
AT1G02150	AT1G50900
AT1G02150	AT1G62750
AT1G02150	AT1G62780
AT1G02150	AT1G64510
AT1G02150	AT1G67700
AT1G02150	AT1G68590
AT1G02150	AT1G73060
AT1G02150	AT1G74850
AT1G02150	AT1G74970
AT1G02150	AT1G75350
AT1G02150	AT1G78630
AT1G02150	AT1G79850
AT1G02150	AT2G17033
AT1G02150	AT2G33180
AT1G02150	AT2G33430
AT1G02150	AT2G33450
AT1G02150	AT2G36000
AT1G02150	AT2G36990
AT1G02150	AT2G40490
AT1G02150	AT2G47590
AT1G02150	AT3G01370
AT1G02150	AT3G02060
AT1G02150	AT3G02450
AT1G02150	AT3G03710
AT1G02150	AT3G04260
AT1G02150	AT3G04760
AT1G02150	AT3G06730
AT1G02150	AT3G06950
AT1G02150	AT3G06980
AT1G02150	AT3G07670
AT1G02150	AT3G08010
AT1G02150	AT3G08740
AT1G02150	AT3G09210
AT1G02150	AT3G09580
AT1G02150	AT3G12080
AT1G02150	AT3G12930
AT1G02150	AT3G13120
AT1G02150	AT3G13740
AT1G02150	AT3G14110
AT1G02150	AT3G14930
AT1G02150	AT3G15190
AT1G02150	AT3G18390
AT1G02150	AT3G18680
AT1G02150	AT3G19810
AT1G02150	AT3G20230
AT1G02150	AT3G20930
AT1G02150	AT3G22150
AT1G02150	AT3G23700
AT1G02150	AT3G24430
AT1G02150	AT3G25660
AT1G02150	AT3G25805
AT1G02150	AT3G25920
AT1G02150	AT3G26710
AT1G02150	AT3G27160
AT1G02150	AT3G28460
AT1G02150	AT3G29185
AT1G02150	AT3G44890
AT1G02150	AT3G47450
AT1G02150	AT3G47650
AT1G02150	AT3G48730
AT1G02150	AT3G52150
AT1G02150	AT3G52380
AT1G02150	AT3G53460
AT1G02150	AT3G54210
AT1G02150	AT3G55250
AT1G02150	AT3G56910
AT1G02150	AT3G59040
AT1G02150	AT3G60370
AT1G02150	AT3G62030
AT1G02150	AT3G62910
AT1G02150	AT3G63190
AT1G02150	AT3G63410
AT1G02150	AT3G63490
AT1G02150	AT4G01310
AT1G02150	AT4G01800
AT1G02150	AT4G02990
AT1G02150	AT4G03150
AT1G02150	AT4G11175
AT1G02150	AT4G14890
AT1G02150	AT4G17560
AT1G02150	AT4G17600
AT1G02150	AT4G18480
AT1G02150	AT4G19100
AT1G02150	AT4G20130
AT1G02150	AT4G20360
AT1G02150	AT4G20960
AT1G02150	AT4G24750
AT1G02150	AT4G24770
AT1G02150	AT4G25050
AT1G02150	AT4G25080
AT1G02150	AT4G26370
AT1G02150	AT4G27600
AT1G02150	AT4G28080
AT1G02150	AT4G29060
AT1G02150	AT4G30950
AT1G02150	AT4G31850
AT1G02150	AT4G34290
AT1G02150	AT4G34830
AT1G02150	AT4G36390
AT1G02150	AT4G37510
AT1G02150	AT4G38160
AT1G02150	AT4G39040
AT1G02150	AT5G02710
AT1G02150	AT5G03940
AT1G02150	AT5G05740
AT1G02150	AT5G08280
AT1G02150	AT5G08650
AT1G02150	AT5G11450
AT1G02150	AT5G13510
AT1G02150	AT5G14320
AT1G02150	AT5G14460
AT1G02150	AT5G14660
AT1G02150	AT5G14910
AT1G02150	AT5G22340
AT1G02150	AT5G30510
AT1G02150	AT5G45390
AT1G02150	AT5G45930
AT1G02150	AT5G46420
AT1G02150	AT5G46580
AT1G02150	AT5G47190
AT1G02150	AT5G50250
AT1G02150	AT5G51110
AT1G02150	AT5G51545
AT1G02150	AT5G52100
AT1G02150	AT5G52440
AT1G02150	AT5G52960
AT1G02150	AT5G52970
AT1G02150	AT5G53860
AT1G02150	AT5G54600
AT1G02150	AT5G55220
AT1G02150	AT5G57930
AT1G02150	AT5G58250
AT1G02150	AT5G63310
AT1G02150	AT5G65220
AT1G02150	AT5G66470
AT1G02190	AT1G58430
AT1G02190	AT3G04960
AT1G02190	AT4G00870
AT1G02190	AT5G22430
AT1G02190	AT5G44620
AT1G02190	AT5G44630
AT1G02280	AT2G33430
AT1G02280	AT3G08740
AT1G02280	AT3G14110
AT1G02280	AT3G52150
AT1G02280	AT3G63190
AT1G02280	AT4G01310
AT1G02280	AT4G17560
