INTERACTOR_A	INTERACTOR_B
LOC_Os12g37400	LOC_Os03g56070
LOC_Os12g37400	LOC_Os01g16650
LOC_Os12g37400	LOC_Os04g15800
LOC_Os12g37400	LOC_Os05g41390
LOC_Os12g37400	LOC_Os05g41750
LOC_Os12g37400	LOC_Os06g14460
LOC_Os12g37400	LOC_Os07g22400
LOC_Os12g37400	LOC_Os03g38010
LOC_Os12g37400	LOC_Os12g41230
LOC_Os12g37400	LOC_Os10g42660
LOC_Os01g70440	LOC_Os01g41170
LOC_Os01g15810	LOC_Os10g31640
LOC_Os01g15810	LOC_Os07g44550
LOC_Os02g30050	LOC_Os02g14059
LOC_Os10g42660	LOC_Os04g41900
LOC_Os10g42660	LOC_Os01g59120
LOC_Os10g42660	LOC_Os05g36280
LOC_Os10g42660	LOC_Os03g56070
LOC_Os08g38300	LOC_Os08g01100
LOC_Os08g38300	LOC_Os03g11540
LOC_Os08g38300	LOC_Os03g17960
LOC_Os08g38300	LOC_Os04g41900
LOC_Os08g38300	LOC_Os04g47580
LOC_Os08g38300	LOC_Os08g40170
LOC_Os08g38300	LOC_Os01g49200
LOC_Os08g38300	LOC_Os09g38540
LOC_Os08g38300	LOC_Os06g51110
LOC_Os08g38300	LOC_Os10g28230
LOC_Os08g38300	LOC_Os01g08150
LOC_Os08g38300	LOC_Os01g70560
LOC_Os08g38300	LOC_Os03g03630
LOC_Os08g38300	LOC_Os02g15810
LOC_Os08g38300	LOC_Os02g50630
LOC_Os08g38300	LOC_Os01g59120
LOC_Os08g38300	LOC_Os12g17530
LOC_Os08g38300	LOC_Os03g56070
LOC_Os08g38300	LOC_Os11g37100
LOC_Os08g38300	LOC_Os07g22580
LOC_Os08g38300	LOC_Os02g56540
LOC_Os08g38300	LOC_Os10g42660
LOC_Os08g38300	LOC_Os01g31800
LOC_Os08g38300	LOC_Os01g04170
LOC_Os08g38300	LOC_Os02g45940
LOC_Os08g38300	LOC_Os03g46920
LOC_Os08g38300	LOC_Os07g32390
LOC_Os08g38300	LOC_Os05g36280
LOC_Os08g38300	LOC_Os05g40540
LOC_Os08g38300	LOC_Os01g09580
LOC_Os08g38300	LOC_Os02g10020
LOC_Os08g38300	LOC_Os10g35580
LOC_Os08g38300	LOC_Os05g39850
LOC_Os08g38300	LOC_Os03g17100
LOC_Os08g38300	LOC_Os05g41390
LOC_Os08g38300	LOC_Os04g42540
LOC_Os08g38300	LOC_Os03g06670
LOC_Os03g37864	LOC_Os05g36340
